date	Female	Male
1950	22	56
1951	29	67
1952	27	59
1953	16	57
1954	21	53
1955	25	55
1956	22	55
1957	22	56
1958	20	54
1959	18	56
1960	18	56
1961	21	48
1962	15	49
1963	11	23
1964	7	30
1965	8	25
1966	12	20
1967	8	30
1968	6	27
1969	16	27
1970	14	23
1971	12	34
1972	9	30
1973	13	27
1974	9	34
1975	5	31
1976	11	31
1977	15	34
1978	13	31
1979	14	46
1980	20	43
1981	16	47
1982	15	52
1983	21	41
1984	26	50
1985	20	58
1986	21	56
1987	21	62
1988	17	55
1989	24	62
1990	25	64
1991	36	55
1992	38	52
1993	31	63
1994	34	58
1995	31	60
1996	37	64
1997	43	67
1998	44	59
1999	49	62
2000	56	68
2001	70	71
2002	62	78
2003	63	84
2004	72	74
2005	69	80
2006	81	91
2007	80	100
2008	86	99
2009	94	109
2010	91	109
2011	87	106
2012	95	105
2013	99	107
2014	91	113
2015	83	103
2016	84	90
2017	17	28